Hela,U87,K562,HEK293T,iPSC,MCF7,MDA-MB-231
LH14897,,,,LH14897,,
,,,,LH14949,,
,,,LH14955,,,
,,,,,LH14958,
,LH14964,,,,,
,LH14965,,,,,
,,,,LH14973,,
,,,LH14994,,,
,,,,LH15005,,
,,,,LH15008,,
,,,,LH15009,,
,,,,LH15010,,
,,,,LH15016,,
,,,,LH15033,,
,,,,LH15076,,
,,,,,LH15119,
,,,,,LH15169,
,,,,LH15269,,
,,LH15277,LH15277,LH15277,,
,,,,LH15278,,
,,LH15312,,LH15312,,
LH15315,,LH15315,,LH15315,LH15315,
,,,,LH15319,,
,LH15346,,,LH15346,LH15346,
,,,,,,LH15346
,LH15347,,,LH15347,LH15347,
,,,,,,LH15347
,,LH15437,,LH15437,LH15437,
,,,,LH15447,,
,,,,LH15508,,
,LH15510,,,,,
,,,,,LH15551,
,,,,,LH15672,
,,,,LH15720,,
LH15738,,,,,,
LH15741,,,,,,
,,,,,LH15746,
,,,LH15786,,,
,LH15820,LH15820,,LH15820,,
,,,,LH15840,,
,,,,LH15857,,
,,LH15992,,LH15992,LH15992,
,,,,LH16008,,
,,,,LH16020,,
,,,,LH16051,LH16051,
,,LH16058,,LH16058,,
,,LH16104,,,,
,LH16126,,,,,
,,,,,LH16131,
,,,,LH16160,,
LH16174,,,,,,
,LH16185,,,LH16185,,
LH16193,,,,,,
,,,,,LH16202,
,,,,LH16235,,
,,,,LH16267,,
,,,,LH16270,,
,,,,LH16376,,
,,,,LH16406,,
,,,,LH16407,,
LH16449,,,,,,
,,,,LH16453,,
,,LH16544,,,,
,,,,LH16617,,
,,,,LH16627,,
,,,,LH16642,,
,,,,LH16686,,
,,,LH16705,,,
,,,LH16721,,,
,,,LH16722,LH16722,,
,LH16726,,,LH16726,,
,,LH16749,,,,
,,,,LH16766,,
,,,,,LH16815,
,,,,LH16858,,
,,LH16926,,LH16926,LH16926,
,,,LH16937,,,
,,,,,LH16943,
,,,,LH16968,,
,,,,LH16974,,
,,,,LH17009,,
,,,,,,LH17009
,,,,,LH17062,
,,LH17063,,,LH17063,
,,,,,,LH17063
,,LH17064,,,LH17064,
,,,,,,LH17064
