target,unified_ID,Annotated_ID,cancer_related,Paper_cancer,validation,Paper_validation,group,LN18.lfc,LN229.lfc,A549.lfc,NCIH460.lfc,KP4.lfc,MIAPACA2.lfc
human_lncrna_fused_71681,human_lncrna_fused_71681,EPB41L4A-DT;EPB41L4A-AS2,YES,https://pubmed.ncbi.nlm.nih.gov/29490660/,YES,https://pubmed.ncbi.nlm.nih.gov/31645082/;https://pubmed.ncbi.nlm.nih.gov/30971290/;https://pubmed.ncbi.nlm.nih.gov/26980733/,LN229,0.05172500000000001,-1.2907000000000002,-0.104195,-0.833925,0.38199500000000003,-0.87135
human_lncrna_fused_72935,human_lncrna_fused_72935,HSALNG0046095,NO,,,,Common essential,-1.2547000000000001,-1.056705,-1.69485,-1.5714599999999999,-1.13993,-0.777585
human_lncrna_fused_7324,human_lncrna_fused_7324,LINC02869,NO,,,,LN229,-0.218445,-2.5576,-0.152795,0.24569799999999997,0.059850000000000014,-0.33058000000000004
human_lncrna_fused_73601,human_lncrna_fused_73601,Lnc-FAM153A-3,NO,,,,KP4,-0.10905599999999999,-0.576095,0.0854855,0.44406999999999996,-2.1387,-0.8104899999999999
human_lncrna_fused_74030,human_lncrna_fused_74030,FOXCUT,YES,https://pubmed.ncbi.nlm.nih.gov/31710451/,YES,https://pubmed.ncbi.nlm.nih.gov/34658347/;https://pubmed.ncbi.nlm.nih.gov/34591391/;https://pubmed.ncbi.nlm.nih.gov/31364114/;https://pubmed.ncbi.nlm.nih.gov/25516208/;https://pubmed.ncbi.nlm.nih.gov/28635400/;https://pubmed.ncbi.nlm.nih.gov/25031703/;https://pubmed.ncbi.nlm.nih.gov/24889262/,Common essential,-0.55882,-1.20595,-0.36956,-1.4266999999999999,-0.8538650000000001,-0.9446650000000001
human_lncrna_fused_74716,human_lncrna_fused_74716,lnc-SIRT5-6,NO,,,,Common essential,-1.081325,-0.1542591,-1.0168,-1.538465,-0.948885,-1.2727499999999998
human_lncrna_fused_75176,human_lncrna_fused_75176,lnc-HIST1H2BI-1,NO,,,,Common essential,-0.8852549999999999,-0.954075,-0.963055,-0.752265,-1.74949,-1.5205
human_lncrna_fused_75613,human_lncrna_fused_75613,SNHG32,YES,,YES,https://pubmed.ncbi.nlm.nih.gov/31534128/,Core essential,-3.4953000000000003,-2.90785,-1.647875,-3.2978795,-3.8126,-3.7285000000000004
human_lncrna_fused_7566,human_lncrna_fused_7566,Lnc-FBXO28,NO,,,,Core essential,-3.01675,-4.1993,-1.9462395000000001,-2.1195,-4.34637,-3.381125
human_lncrna_fused_76648,human_lncrna_fused_76648,HSALNG0050851;tRNA-Ala,NO,,,,Common essential,-1.252825,-1.4550299999999998,-1.04095,-0.74374,-3.84865,-0.6141800000000001
human_lncrna_fused_76859,human_lncrna_fused_76859,LINC00472,YES,,,,KP4,-0.20264500000000002,-0.685945,-0.34187999999999996,-0.23260000000000003,-3.9210000000000003,-0.925435
human_lncrna_fused_77233,human_lncrna_fused_77233,SNHG5,YES,https://pubmed.ncbi.nlm.nih.gov/32360843/;https://pubmed.ncbi.nlm.nih.gov/28861326/;https://pubmed.ncbi.nlm.nih.gov/27065326/;https://pubmed.ncbi.nlm.nih.gov/32131767/;https://pubmed.ncbi.nlm.nih.gov/31884339/;https://pubmed.ncbi.nlm.nih.gov/30114643/;https://pubmed.ncbi.nlm.nih.gov/29592872/,YES,https://pubmed.ncbi.nlm.nih.gov/34351577/;https://pubmed.ncbi.nlm.nih.gov/32281285/;https://pubmed.ncbi.nlm.nih.gov/31657621/;https://pubmed.ncbi.nlm.nih.gov/31506418/;https://pubmed.ncbi.nlm.nih.gov/31173289/;https://pubmed.ncbi.nlm.nih.gov/33095847/;https://pubmed.ncbi.nlm.nih.gov/28004750/;https://pubmed.ncbi.nlm.nih.gov/33622094/;https://pubmed.ncbi.nlm.nih.gov/32329834/;https://pubmed.ncbi.nlm.nih.gov/32266420/;https://pubmed.ncbi.nlm.nih.gov/31292168/;https://pubmed.ncbi.nlm.nih.gov/30395767/;https://pubmed.ncbi.nlm.nih.gov/27871067/,Common essential,-2.2224,-0.512354,0.023637850000000002,0.06806000000000001,-1.62365,-0.5511965
human_lncrna_fused_77342,human_lncrna_fused_77342,HSALNG0051879,NO,,,,Core essential,-3.433455,-3.29364,-2.971355,-3.27758,-3.257095,-3.740335
human_lncrna_fused_78325,human_lncrna_fused_78325,lnc-RNF146-3,NO,,,,Common essential,-1.2753765,-0.84057,-1.051965,-0.732275,-0.551595,-0.43187
human_lncrna_fused_78894,human_lncrna_fused_78894,lnc-UTRN-3,NO,,,,MIAPACA2,0.50388,0.27815,0.41371499999999994,0.23331000000000002,0.16164499999999998,-4.78215
