Functionality	H3F3A	H3K20me1	H3K23ac	H3K27ac	H3K36me3	H3K4me1	H3K4me3	H3K79me1	 H3K79me2	H3K9ac	H3K9me3	H4K4me2
No	25.3015	0	11.3195	4082.15	308.892	2283.46	369.737	0	0	980.916	0	510.903
No	25.3015	0	11.3195	4082.15	308.892	2283.46	369.737	0	0	980.916	0	510.903
No	25.3015	0	11.3195	4082.15	308.892	2283.46	369.737	0	0	980.916	0	510.903
Yes	59.6719	0	0	101080	2029.49	1492.3	54167.8	1.91327	0	7672.36	302.769	1599.45
Yes	59.6719	0	0	101080	2029.49	1492.3	54167.8	1.91327	0	7672.36	302.769	1599.45
Yes	59.6719	0	0	101080	2029.49	1492.3	54167.8	1.91327	0	7672.36	302.769	1599.45
No	17.5314	614.608	0	2190.39	3105.08	1149.43	36.3949	39.5875	54.6781	1.32269	0	0
No	17.5314	614.608	0	2190.39	3105.08	1149.43	36.3949	39.5875	54.6781	1.32269	0	0
No	17.5314	614.608	0	2190.39	3105.08	1149.43	36.3949	39.5875	54.6781	1.32269	0	0
No	0	0	0	1.64033	0	0	0	0	0	0	1.09806	0
No	2.42438	0	8.94193	142.801	0	140.968	0	0	0	17.415	0	24.1326
No	0	70.9308	0	280.609	74.1455	675.313	3.42014	0	0	0	52.9864	464.106
No	0	70.9308	0	280.609	74.1455	675.313	3.42014	0	0	0	52.9864	464.106
No	0	70.9308	0	280.609	74.1455	675.313	3.42014	0	0	0	52.9864	464.106
No	15.9772	794.427	0	37.49	3024.61	100.084	107.68	0	287.421	22.9795	0	145.426
No	15.9772	794.427	0	37.49	3024.61	100.084	107.68	0	287.421	22.9795	0	145.426
No	15.9772	794.427	0	37.49	3024.61	100.084	107.68	0	287.421	22.9795	0	145.426
Yes	58.3637	1216.49	0	926.362	4696.28	2091.31	13914.6	0	1950.12	2395.41	43.1572	2334.56
Yes	58.3637	1216.49	0	926.362	4696.28	2091.31	13914.6	0	1950.12	2395.41	43.1572	2334.56
Yes	58.3637	1216.49	0	926.362	4696.28	2091.31	13914.6	0	1950.12	2395.41	43.1572	2334.56
No	0	0	0	1.47769	0	51.6435	446.513	0	0	16.2846	52.9495	181.886
No	0	0	0	1.47769	0	51.6435	446.513	0	0	16.2846	52.9495	181.886
No	0	0	0	1.47769	0	51.6435	446.513	0	0	16.2846	52.9495	181.886
No	0	0	0	2.69557	0	0	0	0	0	0	0	0
